"","counts.top.90.TF","fc.abs.2fold"
"1",TRUE,TRUE
"2",TRUE,FALSE
"3",FALSE,FALSE
"4",TRUE,FALSE
"5",TRUE,FALSE
"6",TRUE,TRUE
"7",TRUE,FALSE
"8",TRUE,TRUE
"9",TRUE,FALSE
"10",TRUE,TRUE
"11",TRUE,TRUE
"12",TRUE,TRUE
"13",TRUE,FALSE
"14",TRUE,TRUE
"15",TRUE,TRUE
"16",TRUE,FALSE
"17",TRUE,FALSE
"18",TRUE,TRUE
"19",TRUE,FALSE
"20",TRUE,TRUE
"21",TRUE,FALSE
"22",TRUE,TRUE
"23",TRUE,FALSE
"24",TRUE,TRUE
"25",TRUE,TRUE
"26",TRUE,FALSE
"27",TRUE,TRUE
"28",TRUE,TRUE
"29",TRUE,TRUE
"30",FALSE,FALSE
"31",FALSE,FALSE
"32",FALSE,FALSE
"33",TRUE,TRUE
"34",TRUE,FALSE
"35",TRUE,TRUE
"36",TRUE,TRUE
"37",TRUE,TRUE
"38",TRUE,FALSE
"39",TRUE,FALSE
"40",TRUE,FALSE
"41",FALSE,FALSE
"42",TRUE,FALSE
"43",TRUE,TRUE
"44",TRUE,FALSE
"45",TRUE,TRUE
"46",TRUE,TRUE
"47",TRUE,FALSE
"48",TRUE,FALSE
"49",TRUE,TRUE
"50",TRUE,TRUE
"51",TRUE,FALSE
"52",TRUE,TRUE
"53",TRUE,TRUE
"54",TRUE,TRUE
"55",TRUE,FALSE
"56",TRUE,TRUE
"57",TRUE,TRUE
"58",TRUE,FALSE
"59",TRUE,FALSE
"60",TRUE,TRUE
"61",TRUE,FALSE
"62",TRUE,TRUE
"63",TRUE,FALSE
"64",TRUE,FALSE
"65",TRUE,TRUE
"66",TRUE,FALSE
"67",TRUE,TRUE
"68",TRUE,FALSE
"69",TRUE,TRUE
"70",TRUE,FALSE
"71",TRUE,TRUE
"72",TRUE,FALSE
"73",TRUE,FALSE
"74",TRUE,TRUE
"75",TRUE,FALSE
"76",TRUE,FALSE
"77",TRUE,TRUE
"78",TRUE,TRUE
"79",TRUE,TRUE
"80",TRUE,TRUE
"81",TRUE,FALSE
"82",TRUE,FALSE
"83",TRUE,FALSE
"84",TRUE,FALSE
"85",TRUE,TRUE
"86",TRUE,TRUE
"87",TRUE,FALSE
"88",TRUE,TRUE
"89",TRUE,FALSE
"90",TRUE,FALSE
"91",TRUE,FALSE
"92",TRUE,TRUE
"93",TRUE,FALSE
"94",TRUE,FALSE
"95",TRUE,FALSE
"96",TRUE,FALSE
"97",TRUE,TRUE
"98",TRUE,TRUE
"99",TRUE,FALSE
"100",TRUE,FALSE
"101",TRUE,TRUE
"102",TRUE,TRUE
"103",TRUE,TRUE
"104",TRUE,TRUE
"105",TRUE,TRUE
"106",TRUE,FALSE
"107",TRUE,FALSE
"108",TRUE,FALSE
"109",TRUE,FALSE
"110",TRUE,TRUE
"111",TRUE,FALSE
"112",TRUE,FALSE
"113",TRUE,TRUE
"114",TRUE,FALSE
"115",TRUE,FALSE
"116",TRUE,TRUE
"117",TRUE,FALSE
"118",TRUE,TRUE
"119",TRUE,TRUE
"120",TRUE,TRUE
"121",TRUE,TRUE
"122",TRUE,FALSE
"123",TRUE,TRUE
"124",TRUE,FALSE
"125",TRUE,FALSE
"126",TRUE,TRUE
"127",TRUE,FALSE
"128",TRUE,FALSE
"129",TRUE,TRUE
"130",TRUE,TRUE
"131",TRUE,FALSE
"132",TRUE,FALSE
"133",TRUE,FALSE
"134",TRUE,TRUE
"135",TRUE,FALSE
"136",TRUE,FALSE
"137",TRUE,FALSE
"138",FALSE,TRUE
"139",TRUE,FALSE
"140",TRUE,TRUE
"141",TRUE,FALSE
"142",TRUE,FALSE
"143",TRUE,TRUE
"144",TRUE,FALSE
"145",TRUE,FALSE
"146",TRUE,TRUE
"147",TRUE,TRUE
"148",TRUE,TRUE
"149",TRUE,TRUE
"150",TRUE,FALSE
"151",TRUE,FALSE
"152",TRUE,FALSE
"153",TRUE,FALSE
"154",TRUE,FALSE
"155",TRUE,TRUE
"156",TRUE,TRUE
"157",TRUE,FALSE
"158",TRUE,TRUE
"159",TRUE,FALSE
"160",TRUE,FALSE
"161",TRUE,TRUE
"162",TRUE,TRUE
"163",TRUE,FALSE
"164",TRUE,FALSE
"165",TRUE,TRUE
"166",TRUE,TRUE
"167",TRUE,TRUE
"168",TRUE,FALSE
"169",TRUE,TRUE
"170",TRUE,TRUE
"171",TRUE,FALSE
"172",TRUE,TRUE
"173",TRUE,TRUE
"174",TRUE,FALSE
"175",TRUE,FALSE
"176",TRUE,FALSE
"177",TRUE,TRUE
"178",TRUE,FALSE
"179",TRUE,TRUE
"180",TRUE,FALSE
"181",TRUE,FALSE
